Date,Produk,Kategori_MAE,Actual_Sales,Predicted_Sales,Error,Absolute_Error
2025-12-18,GB-CNF-100,rendah,0.0,0.0,-0.0,0.0
2025-12-19,GB-CNF-100,rendah,0.0,0.0,-0.0,0.0
2025-12-20,GB-CNF-100,rendah,0.0,0.0,-0.0,0.0
2025-12-21,GB-CNF-100,rendah,0.0,0.0,-0.0,0.0
2025-12-22,GB-CNF-100,rendah,0.0,0.0,-0.0,0.0
2025-12-23,GB-CNF-100,rendah,0.0,0.0,-0.0,0.0
2025-12-24,GB-CNF-100,rendah,0.0,0.0,-0.0,0.0
2025-12-25,GB-CNF-100,rendah,0.0,0.0,-0.0,0.0
2025-12-26,GB-CNF-100,rendah,0.0,0.0,-0.0,0.0
2025-12-27,GB-CNF-100,rendah,0.0,0.0,-0.0,0.0
2025-12-28,GB-CNF-100,rendah,0.0,0.0,-0.0,0.0
2025-12-29,GB-CNF-100,rendah,0.0,0.0,-0.0,0.0
2025-12-30,GB-CNF-100,rendah,0.0,0.0,-0.0,0.0
2025-12-31,GB-CNF-100,rendah,0.0,0.0,-0.0,0.0
2025-11-25,GB-CNF-250,rendah,0.0,0.0,-0.0,0.0
2025-11-26,GB-CNF-250,rendah,0.0,0.0,-0.0,0.0
2025-11-27,GB-CNF-250,rendah,0.0,0.0,-0.0,0.0
2025-11-28,GB-CNF-250,rendah,0.0,0.0,-0.0,0.0
2025-11-29,GB-CNF-250,rendah,0.0,0.0,-0.0,0.0
2025-11-30,GB-CNF-250,rendah,0.0,0.0,-0.0,0.0
2025-12-01,GB-CNF-250,rendah,0.0,0.0,-0.0,0.0
2025-12-02,GB-CNF-250,rendah,0.0,0.0,-0.0,0.0
2025-12-03,GB-CNF-250,rendah,0.0,0.0,-0.0,0.0
2025-12-04,GB-CNF-250,rendah,0.0,0.0,-0.0,0.0
2025-12-05,GB-CNF-250,rendah,0.0,0.0,-0.0,0.0
2025-12-06,GB-CNF-250,rendah,0.0,0.0,-0.0,0.0
2025-12-07,GB-CNF-250,rendah,0.0,0.0,-0.0,0.0
2025-12-08,GB-CNF-250,rendah,0.0,0.0,-0.0,0.0
2025-12-09,GB-CNF-250,rendah,0.0,0.0,-0.0,0.0
2025-12-10,GB-CNF-250,rendah,0.0,0.0,-0.0,0.0
2025-12-11,GB-CNF-250,rendah,0.0,0.0,-0.0,0.0
2025-12-12,GB-CNF-250,rendah,0.0,0.0,-0.0,0.0
2025-12-13,GB-CNF-250,rendah,0.0,0.0,-0.0,0.0
